text,category,priority,source
a unauthorized wire transfer of 8800.00 was taken out of my account no one confirmed it with me or sent me an approval code or anything and the bank is just telling me my money is just gone,Billing,Low,consumer_complaints
need access to the client for pipeline pm client pipeline hi enter pipeline interesting update under cannot update pipeline thanks director,General,Medium,it_service
password for oracle fusion expenses thursday pm hi please app thanks,Technical,Low,it_service
annual leave balance thursday pm annual leave balance hi please think update holiday st july cancelled thanks coordinator ext,General,Low,it_service
"on xxxx2023 around xxxx xxxx mt, i received a call from xxxx. the number showed up as chase bank on my phone. the woman stated there were two unauthorized transactions on my account and she was going to issue a new debit card. she then asked for a verification code and instructed me to hit yes on my phone when prompted by the chase messaging system, which i did. after this occurred, seven 60.00 transactions were taken out of my checking account and five separate 60.00 transactions were taken out of my savings. when i called chase bank to see why these ones werent flagged, i only then learned the woman before was a scam and had tricked me into both offering a code and writing yes on my phone which allowed access to what someone at chase called my digital wallet. i felt stupid but it was the reality of what happened. chase issued me a temporary credit and then notified me on xxxxxxxx that they were rescinding the credits on xxxxxxxx because they found the transactions were, in fact, authorized. i called chase bank on xxxxxxxx around xxxx xxxx mt and spoke with two different individuals. they didnt explain why the investigation found me guilty other than the device was consistent with the transaction, which i assume means the the fact that the scammers tricked me by using the chase text system to get me to issue a code from my cell phone. when i told them this was a fraud victim scenario, i was dismissed i was actually told by the first person no, this isnt fraud , and told there are no other options and that i could not speak to anyone on the investigations side since the decision was final. even though they told me there are case by case decisions, they told me regulations require us to do it this way. on top of this, ive sent three messages to chase through the secure message center, but only one has been responded to, which told me to call the same people i spoke with the first time. im not really getting any clear information from chase about what rights i have. i understand i played a role in the scam i was a victim of, but i would be surprised that chase bank offers no fraud protection for these scenarios for its customers. is this really true? thank you!",Billing,Low,consumer_complaints
prompt wednesday march pm re issues resolved hi guys expected after fixes done regards developer wednesday march pm issues resolved importance high hello everyone please advised previously reported issue has resolved fully functional encounter further issues please hesitate thank kind regards ext hub tuesday march pm issues hello everyone noticed currently experiencing intermittent issues currently investigating high priority please via explorer syntax followed by return update more information becomes available thank understanding apologies caused inconveniences best regards ext hub,General,Medium,it_service
password reset wednesday july hello guys please log little help configuration mobile device assign queue kind regards engineer ext,Technical,Low,it_service
extension cord tuesday december extension cord extension cord la area engineer,General,Low,it_service
"my paypal account received a cash withdrawal email notification, but i cant complete the associated bank and cash withdrawal, please help me",Billing,Low,consumer_complaints
i filed two disputes with paypal and the people they have in place to resolve problems are from the xxxx and they can barely speak english. also they do not understand the american culture. i had a problem with xxxx where they were to credit money back to my credit card and they never did it and it took paypal employees from the xxxx about two weeks to understand what was going on after i made many phone calls. as of today i have a 240.00 dispute with paypal and its going no where because i have no way of communicating with paypal employees from the xxxx.,Billing,Low,consumer_complaints
in the second week in xxxx i have noticed that my business account has a check cleared for the amount of 2600.00 under an unknown name. since that check was written to my waster company for for 230.00 and was dropped off at the mail box. i have called td bank immediately and they have explained to me that this check has been washed and cashed! i have information my bank immediately and frozen my account! the next day i have gone to my local td bank and opened a new bank account but they have failed to help or inform me that i have to make affidavit of forgery and send me in my way! thre months has passed and i have been call them and going into several branches and they have all said you have to wait or it takes a while! then finally they informed me that i need to fill in the affidavit of forgery and to file a police report too! thre month later!!! forth month later still nothing! i call they tell me the have no further information?! this is the first time my business has been defrauded and expect the bank to tell me what steps and need to take when something like this occurs! it doesnt take four month to give me my money back! i am a small business and this is a very large amount for me to loose! please help!,Billing,High,consumer_complaints
new project code a oracle code hi please create code once booking raising code thanks,General,Low,it_service
"on xxxxxxxx, a xxxx line of credit was obtained from suntrust with my commercial building used as collateral. a deed of trust was filed against the property in the amount of xxxx on xxxxxxxx, the line of credit was increased to xxxx. the same property was again used as collateral. a new xxxx deed of trust was recorded on the property. the original xxxx deed of trust was never canceled as it was suppose to have been when the second deed of trust was recorded leaving two outstanding deeds of trust on the property- a first and second lien. on xxxxxxxx, i received approval to refinance the existing xxxx loan with another bank. when a title search was performed by the closing attorney, it was recognized that there were two deeds and two liens filled by suntrust- but only one existing mortgage. the closing attorney and related title insurance company has stated multiple times that the loan can not close until the first lien is canceled as the title company needs to be assured the new bank will be in first position. paying off the second lien, with the first suntrust lien remaining would mean the new bank would be in second position behind suntrust first lien which should not be there in the first place as there is no related loan tied to the lien. numerous calls and in person visits have been made to suntrust requesting the bank to fix their error and release the first lien, which should have been released at the time the new second deed was recorded. each request, i was told we will look into it and get back with you. this has been going on for over a month. i have had to delay closing on my new mortgage multiple times due to suntrust not releasing the lien. suntrust will not release the lien, or provide a payoff. conversely, they are maintaining a lien on the property without justification. this has cost me in higher interest costs and hours of my time.",General,Medium,consumer_complaints
"transunion and xxxx are showing inquiries on my credit report that i do not recognize. although i know i must go through a process, it will be hard for me to do so since i am a xxxx veteran and have a hard time getting around and moving due to my declining health issues",Technical,Low,consumer_complaints
request to close pas hi please close code approve work has completed recognized client let vice president date thursday close please close release seems let make thanks head digital,General,Low,it_service
attempted to use my card on xxxx xxxx and got declined. received an email saying my debit card is suspended. called citi. agent said there was nothing she could do. ridiculous.,Billing,Low,consumer_complaints
unable to to for some can important like laptop have tried using different browsers safari chrome when enter short redirected if entering outside picture attached after entering credentials get cannot be displayed image attached guess problem somehow related ad credentials how created,Technical,High,it_service
project addresses addresses hello running number wondering possible addresses various which accessed by multiple users tracking monitoring kind regards,Technical,Low,it_service
laptop for interview tuesday pm interview dear tomorrow interview help thanks find out more about experience specialist blvd floor district,Technical,Low,it_service
"this bank is not complying with its policies it is holding me responsible for a fraudulent use that was on my checking account. it says to see me sent an alert to previous number xxxx xxxx this number is no longer mine i changed the number who could see accepted it was safe the new pedietary of the number, my xxxx was stolen and the transactions were deposited that all the transactions reported were stolen because they were done in a fraudulent way, this is already my second complaint through the consumer agency, they sent me a response that i have already seen but the decision that the bank is making is an error, i need to correct that and give me my money in my bank account, please investigate that this bank is providing the correct services to customers, since it is not complying with my wells fargo customer rights, i resolve that it is resolved to me .. please fine this bank as it is not helping me .. prepaid debit atm xxxx xxxx xxxx xxxx xxxx",Billing,Medium,consumer_complaints
2 cds lost. wells fargo has no records. never turned over to ca. lost assets. the 2 cds were 2000.00 each and opened in xxxx96. auto renewal but never received any notice ever come time to renew. yes i forgot about them but still should been notified. talked to wells fargo and said no records anymore so case closed. case mgr. xxxx xxxx of executive office handled case number xxxx. phone xxxx.,Billing,Medium,consumer_complaints
"on xxxx2023, at xxxx i send myself recipients name xxxx xxxx xxxx xxxx and transaction number xxxx xxxx xxxx xxxx through remitly, 2900.00 to my xxxx bank ending in xxxx. the transfer was held for more information. i send that information on xxxx2023. on xxxx2023 a someone claiming to be from remitly called to discuss the issue. they identified me with my name and the exact amount that i was transferring. they said that the bank was still verifying the funds but that they would change the verification officials. they didnt ask me any information nor did i provide any of my passwords or data. when i went to check on the transaction it was complete but someone had changed the transfer number xxxx xxxx xxxx xxxx, the recipient to a xxxx xxxx xxxx xxxx, and the bank account to one ending in xxxx. this change was done without my authorization. i called remitly and was routed to their fraud department that said that they would close my account, look into the matter, and to go file a claim with my bank. the representative said that this was a case of fraud and that they would work with my bank to return my money and shut down my remitly account. he noted that i only ever send to my own account and this was suspect to him. at my bank they said that it was on remitly to refund my stolen money as on their end the transaction was legitimate. when i called back to remitly they quickly changed their tune and said it was not fraud and i had authorized the rerouting. i asked how they knew it was me that rerouted the funds, they said i spoke through them through text and confirmed via a text sending a temporary password. i never spoke to them nor did i receive a text from them. they said that they had my ip address of my phone as xxxx xxxx. on that day i was not in xxxx xxxx either. when i asked for the full bank account of where the money went to pursue the case through xxxx legal system, they said they would not provide it.",Billing,Medium,consumer_complaints
verify en hello guys please under que preparing thank re hello la mine se la va la mine thank va care la si ca la la el officer,Technical,Low,it_service
"fruad issues through the entire process from begining to end i was not properlly explained to me what was and was not being done. i went through the majority of the process to find out that i was not going to get the funds that were fruandulently taken out of my savings account and that jpmorgan chase co. customer support thought i had known about this. the reason i was not recieving my funds was because of the 60 day liability. they recommended that i contact xxxx which was not easy. xxxx and jpmorgan chase co. pointed the finger at each other stating that each company could not do anyhting for me and that i would have to contact the other company to get this taken care of. when i started reporting the fruad to jpmorgan chase co. it was not clear to me what occured with my savings account information. it was difficult working with support since it wasnt clear to them either what was occuring. it took several calls to determine what had actually happened and that i should change my username and password. since i was provided limited information i could not determine what had really happened. after several calls i was able to determine that either my account was improperly accessed by someonelse or that my information was stolen in one of the many breachs jpmorgan chase co. had suffered. the customer of jpmorgan chase co. are actually suffering. so far my username and password have been changed incase someone was using my login. i have never made ach debit tranactions from my savings account becuase its a savings account. i had no way of securing savings account at the time unless i was in person at a branch which were all closed because of covid-19. also there is no way to stop and ach debit from coming out of a savings account unless you close the account. at this point i had to keep the account open and create a fraud claim with jpmorgan chase co.. at the begining of my fruad claim with jpmorgan chase co. was not an easy expiernce. i made a claim but was unable to fill out the correct phsyical documents to retrieve the funds since they could only be physically mailed or faxed. i was told the documents would be mailed to me. i had to call two times to inquire about documents. i never recieved the documents. after waiting several weeks for the documents a branch in my area finally opened. i was able to finally submit the docuemnts with the help of a manager in person. the manager acted like i would get this taken care of without an issue. i waited several weeks to get a response for the claim i had submited with jpmorgan chase co.. i never heard from anyone at jpmorgan chase co.. i called to find out that i was not getting my funds becuase of 60 day liability and that they were only able to give me the funds from xxxxxxxx and not the recent transactions in xxxx which did not make any sense. they said that they could not retrieve the funds. i was persitent in calling attempting to get more information. i was told to contact xxxx with and that was it. i did not have any luck with xxxx. i made several calls jpmorgan chase co. to try to get assiantance. most of the calls were surprisingly negative. one call to the jpmorgan chase co. claims department that i remember significantly was when the resprasentive told me to threaten xxxx with a xxxx xxxx xxxx complaint so they would help me. another call with the claims depatmnet i was explaining that i had banked with jpmorgan chase co. since my mother had opened the account and i recieved snicker from the person i was talking to. i then had to explain that my mother opened this account when i was a kid and that i have been with them for more than 20 years. another call was with a manager where i was asking about my funds being retrieved and that they stated that they could not be retrieved. i asked if they even attempted and they responded that they did not even attempt to get my funds. before this point everyone was telling they could not be retrieved. i was lied to by jpmorgan chase co. by them stating that they were unable to retrieve my funds when in fact after several calls that there was no attempt to retrieve my funds. i made another call to jpmorgan chase co. to inquire about my claim and to gather information about the xxxx transactions so i can make attempt to report the fruad to xxxx. i found out that jpmorgan chase co. was attempting to retrieve my funds by doing a bank to bank reversal with xxxx xxxx xxxx xxxx banks . i was told at this point to not get the transaction id s related to the fraudulent charges for xxxx. i made another call to follow to find out that they were unable to get a hold of anyone at xxxx xxxx xxxx so they had to fax a document to them. after another two weeks i called to follow up and found that only the money from xxxx was able to be retrieved and that they did not attempt to get the funds from the xxxx transactions. during this call it was frustrating to hear that they wasted valuable time. at this point i got angry and the women kept appoligizing which added insult to injury since she was not helping at all. i asked for the transaction id s and she said i would have to work with customer support which i knew wasnt true. i ended up talking to the guy and telling him what was happening and he was able to transfer me back to claims. i recieved the transaction informationa and after several attemps was able to chat with xxxx about the information and that it was the wrong transaction id s. i had to call jpmorgan chase co. again to try and get the correct transaction id s. after finally getting the information was able to try to resolve the issue with xxxx. since xxxx i had several chat sessions with xxxx. i was finally able to get through to somone that was not just going to ignore my inquiry. i recieved a call from xxxx yesterday on sunday xxxxxxxx about the transactions. after working with xxxx to get this resolved i found that they would not give me the funds becuase it was past the 60 day liability. since i was told not to contact xxxx i missed my window of disputing the transactions and that jpmorgan chase co. would need to contact xxxx to dispute them since it was past the 60 day liability. i called jpmorgan chase co. today xxxxxxxx to see if that it was true that they could contact xxxx to dispute the charges and they said that it was not true. i aslo asked if they could assist since they told me not to contact xxxx and caused me to lose out on an getting my funds back. i was told that i have to persue xxxx or through other means. rough timeline transaction xxxxxxxx around 25.00 dollar ach debit transaction was done using xxxx as a guest checkout with my saving account information. xxxxxxxx around 1000.00 in total ach debit transactions was done using xxxx as a guest checkout with my saving account information. rough phone call timeline xxxxxxxx - first call to jpmorgan chase co . xxxxxxxx - jpmorgan chase co . xxxxxxxx - jpmorgan chase co . xxxxxxxx - jpmorgan chase co . xxxxxxxx - xxxx xxxxxxxx xxxx jpmorgan chase co . in person at a branch timeline xxxxxxxx xxxx xxxx - branch manager, vice president address xxxx xxxx xxxxxxxx, xxxx xxxx, mi xxxx phone number xxxx xxxx xxxx email xxxx xxxx chat timeline multiple chats from xxxx to xxxx most of the replies say that there are no recent charges on your account or that in general they can not assist me. jpmorgan chase co. claims number xxxx xxxx xxxx xxxx claims idxxxx xxxxxxxx xxxx transfer xxxx web id xxxx ach debit 95.00 xxxx xxxx xxxx transaction id 1 - wrong transaction id xxxx xxxx xxxx transaction id 2 xxxxxxxx xxxx transfer xxxx web id xxxx ach debit 980.00 xxxx xxxx xxxx transaction id 1 - wrong transaction id xxxx xxxx xxxx transaction id 2",Billing,High,consumer_complaints
event article problem sent friday october communication specialists re event problem hi please add communication can open case for moment focused some priorities can take some next week help you if please raise again try allocate some resources for be solved meantime please repeat process start flowing guidelines we can be there step preventing you finish process during our meeting saw published thank you best marketing manager date friday october communication specialists event problem hi guys have problem with events article published tuesday presumed would be fine did check until today mistake happen again belgrade article disappeared published again drafts took several get published whenever again here asking be published once more other thing set location belgrade but appears part belgrade where posting or what know adding other specs maybe identify with problem thanks,Technical,Medium,it_service
urgent laptop start urgent laptop start hello laptop using win tried install some updates but after failed restart,Technical,High,it_service
notifications thursday pm hi please include recipient related she receive sn currently receive,General,Low,it_service
broken os on laptop broken os laptop hi left laptop with boot any longer looking into can you please open ticket for thanks sent android,Technical,Medium,it_service
backpack request backpack tuesday pm hello va,Technical,Low,it_service
access to tuesday user good afternoon please create user fond client user role tester,Technical,Low,it_service
leaver account leaver form leave date location hello leaver form has filled by name leaving date location ad forwarder leaver mailbox did leaver roaming profile did leaver ad rights personal mailbox approver did leaver rights inventory storage required information name work location details floor st seat did leaver did leaver token did leaver mobile phone subscription did leaver other commercial accounts leaver has detected changed automatic by approver backup pm purchase coordinator approver approver approver approver discipline responsible other did leaver did leaver did leaver did leaver did leaver number did leaver extension leaving details unplanned comments needed tickets automatically logged best regards note mailbox receive messages,General,Low,it_service
"on xxxx2022, i wire transferred xxxx to my citibank checking account. on xxxx xxxx, my account was flagged for suspicious activity and a freeze was put on my account. i have called the past 3 days, and they continually say they can not help me because a special investigator is currently looking at my account. i made all transactions, i confirmed and even called citibank before to tell them i was making these transactions, yet they still froze my account, and i can not access any funds with it at all.",Billing,Low,consumer_complaints
"made a agreement for a bag listed on xxxx with xxxx xxxx xxxx username- xxxx xxxx. she posted a bag and i made her an offer. she messaged me in a comment saying she would accept my offer if i did it off pm and send her money via zelle. i said i would pay half 400.00 and the other half 400.00 when she sent a video fo her shipping and the xxxx tracking. i just got the box today and it is a weighted ball. no bag! the xxxx label says name xxxx xxxx xxxx xxxx which is the number we later texted on and the address xxxx xxxx xxxx xxxx in, xxxx not sure if this is her real address . no recourse from zelle.",Billing,Low,consumer_complaints
full outlook mailbox mailbox dear facing problem having mailbox extending mailbox thank senior software tester ext,General,Low,it_service
new hr system upcoming actions update communication needed friday pm upcoming actions hello tau ca training care si tot va care reformulate annual leave va help points announce location schedule help points going organized order help guidance functionalities va si va care merci care recent merci,Technical,Medium,it_service
new purchase po wednesday purchase po dear purchased fix inch please log installation please take consideration mandatory receipts section order receive item ordered kind regards administrator,General,Low,it_service
lost badge sent tuesday lost badge hello pretty lost badge realized morning please let know how should get another one thanks senior developer,Technical,Medium,it_service
"on xxxxxxxx2019 i was a victim of a fraudulent transaction posted to my checking account with bank of america. early in the morning, i made an atm cash deposit in the amount of 21.00 at xxxx xxxx xxxx near xxxx airport. i used my debit card shortly after my deposit and at xxxx pt i made a second cash atm deposit in the amount of 92.00 at the xxxx xxxx xxxx in long beach . when i checked my printed atm deposit receipt, my available balance was showing - 0.00, so i went inside of the branch and spoke to a representative who told me to file a dispute and in addition, ask for my deposit to be reversed, so the branch could refund my cash deposit, as they were going to use an internal code to authorize the refund of my deposit due to the fraudulent transaction posted to my account, and so i could take my deposit with my credit union checking account, which was not compromised with fraudulent transactions. i spoke on the phone with xxxx in florida and he told me that the dispute was placed and a temporary credit in the amount of 100.00 amount of fraudulent transaction posted on my account would be posted back to my checking account. i believed that xxxx had also reversed my atm deposit, so the branch manager could refund my deposit, but my account continued showing a negative balance in the amount of - 0.00, so i contacted bank of america s 800 number again and for the next few days and spoke with several representatives about my temporary credit, however, nothing was resolved. i filed a complaint with the cfpb against bank of america for the fact that the bank authorized a transaction in the amount of 100.00 on an account with a available balance of 7.00 at the time the transaction and the fact that my account is not set for overdraft protection and the transaction should have been declined. i also spoke twice with a bank of america representative named xxxx on xxxxxxxx and xxxxxxxx and xxxx xxxx on xxxxxxxx but still did not get my temporary credit processed. on xxxxxxxx i received an email from xxxx xxxx with enterprise resolution on behalf of bank of america, in regards to my complaint with cfpb, however the number and extension provided by xxxx goes straight to a voicemail and does not transfer to a live representative, so my issue continues unresolved. on her email she asks to be contacted no later than xxxxxxxx, 2019 and she should be my only point of contact from now on, but i have not been able to reach her, since the calls goes to voicemail. meanwhile, i continue unable to access my funds from the cash atm deposit in the amount of 92.00 made on xxxx19 and my available balance shows - 2.00. i have received three emails from bank of america advising me about insufficient funds to my account, however bank of america is not taking the fraudulent transaction as fraud and they are treating it as a simple dispute and has not issued the temporary credit to my account. i was advised by both by xxxx and xxxx xxxx that bank of america is delaying my temporary deposit due to past dispute transactions on my account. i am being discriminated by bank of america for having had issues with merchants on the past that required to be disputed and they are not taking the fraudulent transaction seriously. i filed an identity theft report with identitytheft.gov and the reference number is xxxx.",Billing,Medium,consumer_complaints
on xxxxxxxx i sent letter requesting for verification and not received a answer. it been more than several months.,Technical,Low,consumer_complaints
for development hello phone developing assigned please let available phone which assigned thank software developer,Technical,Low,it_service
leaver form for leaver form hello redirect leaver form thank november pm re leaver form hello her several months please coordinate thank head analysis planned days off st friday november pm leaver form please fill submit leaver form,General,Low,it_service
speedy cash of xxxx xxxx and xxxx in xxxx arizona is doling out title loans against vehicles in direct violation of arizona statute not only this but arizona allows the extortion according to the department of motor vehicles and will not release the title unless the creditor releases the note thereby co-conspiring against service members- retirees etc and this includes people in the xxxx xxxx xxxx of which i was in xxxx. this xxxx i have my full retirement orders. this company watch to play the same game since the credit bureau they push three buttons on a computer they claim they have no working knowledge of any data and that i have handed them a lie which i have not been papers are official from xxxx tennessee to xxxx xxxx personnel office in response to the xxxx xxxx xxxx xxxx three secretaries ago under direction of president obama and the bureau for correction of naval records these documents could not be more official. this company will not listen to reason they do not care for the truth and they continue to extort service members that more than 300 interest i asked them to cap it at 30 and they absolutely refused. i keep trying to send me back to their team of lawyers even though theyre in direct violation of congress at this moment because congress is passing laws to stop this predatory lending. the local sheriff s are in on this and want me to go talk to a lawyer at xxxx to 750.00 an hour. i can not afford an attorney. i could not afford one to defend my military rites in xxxx what makes anybody think i can afford one now and at this point with the defense department at the xxxx xxxx xxxx.,General,Low,consumer_complaints
new slack slack ne instant si maim erg slack ca sip instant sa ne sa web hook ne si wallet link la la,Technical,Low,it_service
"on monday xxxx2021 at xxxx est , i received two emails from xxxx xxxx xxxx confirming opening of both a checking account and a savings account. both accounts were opened fraudulently. xxxx xxxx xxxx and xxxx - read below allowed both accounts to be opened even though i have identity theft flags on my credit reports which i updated through the cfpb consumer portal in xxxx 2021 as a result of xxxx allowing a checking account to be opened. i immediately called xxxx xxxx and was transferred to a rather combative cs manager in xxxx xxxx xxxx fraud department who went so far as to say to me on a recorded call that he didnt have time to stay on the phone when i began asking him questions about how the account was opened?, was it opened online or at a branch?, what proof of identity was provided to open the accounts?, how were the accounts opened when i have identity theft flags on my reports as a result of the xxxx breach and considering i updated the identity theft flags notifying all three credit bureaus that fraudulent accounts were opened ? he said i would receive a letter in the mail in xxxx days but claimed, contrary to ftc regulations , that xxxx xxxx would not provide me the information of how the accounts were opened, what identity information was used to open the accounts, what federally mandated id was provided to open the accounts, etc... xxxx xxxx you will provide me with the information about how the accounts were opened. i ask the cs manager who approved the accounts being opened and he specifically named xxxx again, this is a recorded call , thus xxxx xxxx has twice now, first with xxxx and now xxxx xxxx xxxx, within a xxxx period, approved fraudulent accounts being opened, even though all three of my credit reports are locked and even though my credit reports have been flagged for identity theft since i received notification of the xxxx xxxx breach... i spent nearly 1.5 hours at a xxxx branch, thus face-to-face and with the branch manager, being put through the hoops to open accounts because of the identity theft flags, yet xxxx has, twice , approved online accounts to be opened. i am adding xxxx and experian to the complaint for notification purposes.",Technical,High,consumer_complaints
configuration of for apple pro december pm configuration apple pro hello two weeks received notebook which pro running work done please help setting thanks code,General,Low,it_service
i had tried to pay for my sprint account and i was actually xxxx cent short and ended up i had to pay both the bank and the phone company almost over xxxx dollars in fees,Billing,Low,consumer_complaints
your zone approval pm zone hello please let possible granted clearing zone currently back thank kind response great specialist blvd floor district,General,Low,it_service
add routes to profile add routes profile hi please while connected thanks,General,Low,it_service
update contacts list november re update hi please has done please provide reference number thanks november update hello please replace update automatic description please knowledge ens how import thank november update hello please advised description update entirely match ens how import content description mention followed thank best regards specialist ext hub,Technical,Low,it_service
sonar not working anymore after sonar upgrade sent friday sonar working anymore after sonar upgrade importance high hi we noticed after sonar upgraded our sonar job started fail please pilot job caps pilot sonar seems be problem related maven incompatibility was encountered while executing scanner maven sonar maven could you please investigate fix issue best regards solution architect design lead,General,Medium,it_service
re new starter ad states of various re starter ad states various hi allocated he via regards,General,Low,it_service
"i received a letter from tcf national bank and a questionnaire to be completed in regard to money transferred to another bank. the amount of the funds transferred totaled 900.00. they requested from me what is the purpose of the transactions? who are the beneficiariesoriginators of the funds? provide name, physical address, dob, occupation, and nature of your relationship for the originatorbeneficiary of the above mentioned transaction. i called tcf to get more info and was told they wanted to get to know their customers better i ve been a customer since around xxxx , t hey want to know where the funds went they transferred them to xxxx xxxx at my request . if i do nt comply, they ll close my accounts. told them this is intrusive, that i m not doing anything illegal and that i m not willing to provide the information. i was told that they have a right to obtain this information due to the patriot act. this act was not mentioned in the letter, or the questionnaire, and was only brought up by tcf at least 10 or 15 mi nutes into the conversation. the person had no section number or any other info regardin g the patriot act. tcf state d more than once to me that my accounts would be closed if i do not comply.there also was a deadline to return the completed questionnaire.",Billing,Medium,consumer_complaints
system degraded on physical host degraded hi noticed physical host degraded host for for know you raise ticket for kind problem regards senior server infrastructure engineer infrastructure upcoming holiday none,Technical,Low,it_service
error oracle sent monday please action submit your cards for approval hi guys can seem submit getting error thanks,General,Medium,it_service
cab rejection details cab rejection details hello please low assign existing rejection details cr form capture cab rejection details needs show after cr rejected must contain rejection details provided by cab leader cab tasks rejecting cr information also needs reported thanks,Technical,Low,it_service
twelve transfers approvals needed unable to raise po sent friday twelve transfers approvals needed hi please raise ticket for below request assign thank you kind regards sent thursday twelve transfers approvals needed hello could you please assist she trying create po for raised against code but she received following error kind regards leader ext en address st emergency telephone number sent thursday re twelve transfers approvals needed hi tried resubmit po again few minutes ago received error below kind regards sent re twelve transfers approvals needed hi we asked activate code by tomorrow could you please try again create po should work thank you sent wednesday re twelve transfers approvals needed hi code for inactive please provide alternative also still waiting for approval for below kind regards sent re twelve transfers approvals needed hi we have chased for approval please let know if there still pending for approval kind regards leader ext en address st emergency telephone number sent tuesday re twelve transfers approvals needed hello can you please for approvals we need for costs thank you kind regards accountant sent monday twelve transfers approvals needed hi please for approvals for below kind regards administrator,General,High,it_service
"on xxxxxxxx at xxxx pm i got a call from my bank boa. they told me that they had detected some suspicious transactions and they were just making sure it wasnt fraud. i explained to them that i was at work and that i hadnt made any transfers or transactions. they told me they would take care of everything and not to worry. i have proof of this phone call on my phone records. at xxxx the first transfer was made via xxxx and at xxxx the second transfer was made. i did get confirmations on the transfers but i was working and i assumed this was what she was speaking to me about. apparently, they were already in my account when i was speaking to the fraud representative and she didnt notice. they had emailed me asking me if i signed on to my online id because they detected that there was a sign on from an unknown device. i didnt read the emails because i was at work and i work at a restaurant. im not even allowed to have my phone on me. well even though all this happened they decided to deny my claim stating that i was the one that made these transfers. the recipients name were xxxx and xxxx. yes not even an actual name. this is unbelievable. they warn me of the fraud then fail to protect my account and then say i did it. now they dont want to give me my money back. i need some help please.",Billing,Medium,consumer_complaints
servers monitoring check july pm re monitoring hello log query somebody advise regards leader july re monitoring hello found regarding polls please let devices polls suspended ones thinks awaiting since friday back after out thank july monitoring hello please ensure added normal monitoring issues progressed thank regards leader july re updates july hello issues has resolved next replied about topic best regards senior engineer july re updates july thanks confirmation bit con concerned hear again issues has resolved yet kind regards july re updates july hello inform installed updates test environment approved workstations yet issues approve updates possible please find attached file bulletins july best regards senior engineer,Technical,Low,it_service
oracle report thursday december pm please extract importance high hi report containing details name number type commercial nature agile planned iterative other client engagement requested tabs available setup form must available somewhere existing defined report containing please indicate report name where find extract thank help officer,General,Low,it_service
"on xxxxxxxx i lost my purse and someone stole my bank card, license and xxxx. i called to report this to wells fargo that someone went to xxxx and used my debt card. my debt card has xxxx missing and i absolutely need it back. when i called they told me that i cant get my money back because no one used my card since it been stolen and that if they stole it, they would try to use it again. i advise them i went to the gas station and am i not sure where my purse is at. they continue to say its conflicting but i dont no money at all its fraud. im filling this complaint because they arent trying to help. they denied my fraud claim.",Billing,High,consumer_complaints
"regions bank account initially opened in xxxx, tn has been charging my account a monthly fee of 5.00 for account access for a 3rd party. i have several emails going back and forth trying to resolve the issue, and have been told its resolved... only to have the charges continue to show up and regions bank continue to charge me the monthly fee which i believe will now go up to 8.00 per month instead of the 5.00 they have been stealing each month . their excuse each time is usually something like, well, this is online banking s error ... i have several emails from the bank manager and her rep that i can supply as supporting documents. this is theft.",Billing,Medium,consumer_complaints
i would like to get my tax amount updated after we have received xxxx credit certification. we have solicited many times but they have not wanted to give it to me.,General,Low,consumer_complaints
"it has been drawn out into the open that you are not hindering records when i sent a copy of the ftc report. since it is a necessity by regulation 605b of the fcra im sending this complaint to assist with laying out a lawful response. in the event that you decide to not obstruct the accompanying things recorded beneath which are answering erroneously because of fraud, i will hand my archives over to my lawyer to begin a legitimate activity. its my goal to not seek after any legitimate activity so if its not too much trouble, comply with the law. xxxx xxxx xxxx xxxx, ca xxxx xxxxxxxx xxxx xxxx xxxx xxxx xxxx xxxx, ca xxxx xxxx xxxx xxxxxxxx balance 10000.00 xxxx xxxx xxxx xxxx balance 6200.00 xxxx xxxx xxxx xxxx xxxx balance xxxx 10000.00 xxxx xxxx xxxx xxxx balance 6200.00 xxxx xxxxxxxx xxxx xxxx balance 10000.00 xxxx xxxx xxxx xxxx balance 6200.00",Technical,Low,consumer_complaints
new for logging out automatically all users who were disconnected from windows servers thursday july pm logging out automatically users were disconnected hello please apply policy logging out automatically users were disconnected policy reduce number polls problems please assign thanks regards engineer,Technical,Low,it_service
